"ASSET","BKCLASS","DEP","DEPDOM","EQ","MUTUAL","NETINC","ROA","ROAPTX","ROAPTXQ","ROAQ","ROE","STNAME","TRUST"
70859,"NM",60332,60332,7236,0,-226,-0.632757816145591,-0.879141390573962,-2.28,-1.71,-5.86,"Texas",0
439660,"N",302265,302265,53668,0,818,0.749410228808319,0.943633906690181,0.94,0.75,6.14,"Arizona",0
447421,"N",387521,387521,30911,0,3732,0.83959429507825,1.28256352525217,1.15,0.75,11.33,"Nebraska",1
4776434,"NM",4078287,4078287,441977,0,-13573,-0.569625605355732,-0.769684933487373,-2.25,-1.7,-5.88,"Georgia",1
362819,"NM",303715,303715,36731,0,368,0.406886667412994,0.515242356017541,0.52,0.41,4.01,"West Virginia",1
2676439,"SM",2428007,2428007,221776,0,3278,0.489627620494531,0.554901345374369,0.55,0.49,6.06,"Texas",1
110524752,"NM",89863719,89863719,9180155,0,343560,1.22231328526167,1.64069835746716,1.64,1.22,14.76,"Utah",0
13339325,"NM",11788092,11788092,1298001,0,209990,1.61236235278949,2.07753568684847,1.62,1.28,17.2,"South Dakota",1
320251,"NM",296191,296191,18946,0,540,0.667376268903201,0.667376268903201,0.67,0.67,11.37,"Indiana",1
2417528,"N",2178574,2178574,210105,0,7331,1.21015583376906,1.21015583376906,1.21,1.21,14.03,"Texas",0
515658,"N",437166,437166,74341,0,1420,0.545325371070873,0.981201635976113,0.42,0.23,3.86,"New York",0
529906,"NM",469183,469183,58782,0,-892,-0.689065811771863,-1.05291110027472,-1.05,-0.69,-6.17,"Florida",0
36137,"SM",32079,32079,2817,0,-229,-0.651567745973937,-0.651567745973937,-1.94,-1.94,-6.42,"Nebraska",0
93990,"NM",81611,81611,11770,0,367,1.51885899339379,1.62232350248056,1.62,1.52,12.63,"Tennessee",0
420709,"NM",341432,341432,31386,0,1952,1.94101868677954,1.94101868677954,1.94,1.94,25.09,"Missouri",0
174600,"NM",152308,152308,21442,0,1135,2.62913299417132,2.62913299417132,2.63,2.63,21.56,"Georgia",0
653170,"SM",545101,545101,48862,0,2394,1.49701722132593,1.49701722132593,1.5,1.5,19.9,"Oklahoma",0
199425,"SB",174464,174464,21758,0,963,1.97258253660185,2.6751742396698,2.68,1.97,18.1,"Illinois",0
29194,"NM",26376,26376,2633,0,-1,-0.0132685386363259,0,0,-0.01,-0.15,"Minnesota",0
1016197,"NM",822000,822000,118775,0,3712,1.48546103015842,1.92485656116972,1.92,1.49,13.01,"North Carolina",0
